pickup_hour,day_of_week,weather_condition,pickup_zone,vehicle_type,distance_km,passenger_count,surge_multiplier,fare_amount
16,Saturday,Clear,Suburb,UberXL,1.0,3.0,1.2,3.0
9,Friday,Rainy,Airport,UberX,5.9,3.0,1.93,19.11
23,Sunday,Clear,Suburb,Uber Black,1.32,,1.0,4.32
13,Saturday,Clear,Suburb,UberX,11.37,3.0,1.2,18.41
22,Sunday,Rainy,University,UberX,8.76,3.0,1.15,16.98
16,Thursday,Foggy,Mall,UberX,2.82,1.0,1.0,5.8
17,Monday,Clear,Suburb,UberXL,1.0,4.0,1.6,6.45
18,Monday,Rainy,Suburb,UberX,14.23,4.0,1.84,35.37
16,Saturday,Clear,University,UberXL,8.97,3.0,1.2,22.7
13,Sunday,Clear,Airport,Uber Pool,1.0,4.0,1.0,3.0
8,Thursday,Clear,Suburb,UberX,7.91,1.0,1.4,14.02
7,Tuesday,Clear,University,UberX,13.3,3.0,1.4,25.79
1,Friday,Foggy,Downtown,UberX,7.15,2.0,1.2,12.26
12,Friday,Clear,University,UberX,4.42,1.0,1.2,8.84
6,Wednesday,Rainy,,UberX,7.01,3.0,1.15,10.75
8,Thursday,Clear,,Uber Pool,7.73,4.0,1.4,10.41
21,Sunday,Snowy,Airport,UberX,8.17,1.0,1.3,19.6
21,Wednesday,Rainy,Airport,Uber Black,27.3,3.0,1.15,95.09
10,Saturday,Rainy,Mall,UberX,1.57,4.0,1.38,4.72
13,Sunday,Clear,Mall,Uber Black,7.81,4.0,1.0,20.1
3,Wednesday,Clear,Suburb,Uber Pool,1.67,3.0,1.0,
12,Monday,Clear,Mall,Uber Black,1.89,1.0,1.0,
1,Friday,Snowy,Airport,Uber Pool,8.85,3.0,1.56,20.8
22,Sunday,Clear,Mall,UberX,19.81,3.0,1.0,25.86
4,Wednesday,Rainy,Airport,UberX,1.39,3.0,1.15,3.0
10,Monday,Rainy,Downtown,UberXL,26.26,3.0,1.15,54.33
5,Thursday,Clear,Mall,UberXL,3.08,3.0,1.0,7.59
17,Wednesday,Rainy,Airport,Uber Pool,3.97,4.0,1.84,10.89
20,Saturday,Rainy,University,UberX,1.33,3.0,2.21,5.86
9,Saturday,Rainy,Suburb,UberX,7.65,1.0,1.93,19.47
3,Saturday,Clear,Airport,UberX,7.26,2.0,1.2,16.22
8,Sunday,,Mall,Uber Pool,4.67,3.0,,11.47
5,Friday,Clear,Mall,Uber Pool,5.17,1.0,1.2,7.59
1,Wednesday,Foggy,Downtown,UberXL,7.8,2.0,1.0,19.47
16,Thursday,Rainy,University,UberXL,7.01,1.0,1.15,16.75
4,Wednesday,Clear,Airport,UberXL,3.75,4.0,1.0,9.29
5,Friday,,University,UberXL,,4.0,1.56,48.98
11,Monday,Clear,Downtown,UberX,8.81,2.0,1.0,10.48
22,Friday,Foggy,Suburb,UberXL,1.84,2.0,1.2,6.01
20,Saturday,Snowy,University,UberX,3.08,2.0,2.5,12.96
9,Sunday,Foggy,Downtown,UberXL,,4.0,1.4,33.85
21,Monday,Foggy,Airport,UberX,1.0,4.0,1.0,5.02
20,Sunday,Clear,Suburb,Uber Black,11.1,1.0,1.6,42.66
5,Saturday,Clear,Mall,Uber Black,3.56,4.0,1.2,12.34
7,Tuesday,Rainy,Downtown,UberXL,6.42,2.0,1.61,21.78
1,Friday,Clear,Mall,Uber Black,2.63,3.0,1.2,8.6
11,Friday,Clear,Suburb,UberXL,34.41,3.0,1.2,70.33
12,Thursday,Rainy,Downtown,UberXL,18.9,2.0,1.15,40.06
20,Wednesday,Clear,Downtown,UberX,21.1,4.0,1.6,48.8
6,Monday,Foggy,Suburb,Uber Black,1.63,2.0,,6.06
9,Sunday,Foggy,Airport,UberX,14.75,4.0,1.4,35.04
12,Monday,Foggy,Downtown,UberXL,6.13,3.0,1.0,
16,Thursday,Rainy,Suburb,UberXL,9.84,1.0,,22.87
20,Thursday,Foggy,University,Uber Black,1.96,4.0,,9.81
13,Sunday,Foggy,Mall,Uber Black,9.96,1.0,1.0,24.74
1,Wednesday,Rainy,Downtown,UberXL,19.65,3.0,1.15,38.4
21,Sunday,Clear,University,Uber Black,2.49,1.0,1.0,6.95
10,Sunday,Foggy,Downtown,UberX,2.13,1.0,1.0,3.05
0,Saturday,Foggy,Airport,Uber Pool,1.0,2.0,1.2,
18,Wednesday,Clear,Suburb,Uber Black,2.48,1.0,1.6,10.23
20,Friday,Clear,,UberX,6.14,3.0,1.92,16.87
3,Saturday,Rainy,Suburb,Uber Black,14.3,4.0,1.38,44.36
18,Tuesday,Clear,Downtown,UberXL,2.61,1.0,1.6,10.64
20,Wednesday,Snowy,Airport,Uber Pool,7.76,4.0,2.08,18.7
10,Thursday,Snowy,Airport,Uber Black,5.23,2.0,1.3,20.31
7,Saturday,Clear,University,UberX,2.72,3.0,1.68,8.31
10,Wednesday,Rainy,Airport,UberX,5.71,3.0,1.15,14.2
3,Monday,,Suburb,UberXL,1.47,4.0,1.0,3.46
16,Sunday,Rainy,Airport,Uber Black,8.16,3.0,1.15,30.91
6,Tuesday,Clear,Downtown,Uber Black,1.0,2.0,1.0,3.0
7,Friday,Rainy,Airport,UberX,10.5,4.0,1.93,34.15
2,Sunday,Clear,Suburb,UberXL,1.57,3.0,1.0,5.47
21,Monday,Clear,Downtown,UberXL,50.38,2.0,1.0,89.69
1,Monday,Clear,University,UberX,13.88,2.0,1.0,18.02
22,Tuesday,Clear,University,UberX,3.37,1.0,1.0,6.94
14,Friday,Rainy,University,UberX,4.44,3.0,1.38,10.17
23,Thursday,,Downtown,UberX,2.4,4.0,1.0,
21,Saturday,Clear,University,UberX,11.66,1.0,1.2,19.7
21,Friday,Foggy,Airport,UberX,3.83,4.0,,8.77
4,Wednesday,Foggy,Downtown,Uber Pool,11.26,1.0,1.0,15.52
23,Monday,Foggy,Downtown,UberX,1.0,2.0,,4.84
0,Wednesday,Snowy,Downtown,UberX,1.17,1.0,1.3,4.8
3,Thursday,Clear,Mall,UberX,3.63,1.0,1.0,9.69
14,Wednesday,Clear,Suburb,UberX,1.0,1.0,1.0,5.25
19,Friday,Rainy,Mall,UberXL,7.35,3.0,2.21,30.33
18,Wednesday,Foggy,Mall,UberX,1.0,1.0,1.6,6.79
2,Thursday,Snowy,Mall,UberXL,15.72,2.0,1.3,34.96
19,Thursday,Clear,Suburb,Uber Black,11.46,4.0,1.6,41.01
10,Thursday,Clear,Mall,UberX,1.95,3.0,1.0,3.0
16,Friday,Clear,University,UberXL,5.29,2.0,1.2,14.27
12,Thursday,Rainy,Downtown,UberXL,4.81,3.0,1.15,10.79
10,Monday,Rainy,Downtown,UberX,10.32,4.0,1.15,23.16
1,Sunday,Clear,Airport,Uber Black,4.11,4.0,1.0,12.99
8,Thursday,Clear,University,Uber Black,1.0,4.0,1.4,4.21
1,Wednesday,Rainy,Suburb,UberXL,2.56,3.0,1.15,8.38
20,Saturday,,Downtown,UberX,5.02,3.0,2.21,18.33
8,Wednesday,Clear,,Uber Pool,29.35,4.0,1.4,42.18
8,Saturday,Foggy,Airport,UberX,17.04,4.0,1.68,46.78
7,Wednesday,Rainy,Airport,UberX,1.6,,1.61,8.26
16,Friday,Foggy,Downtown,UberX,10.28,4.0,1.2,18.54
0,Wednesday,Foggy,University,UberXL,22.09,1.0,,40.43
10,Friday,Clear,Airport,Uber Black,1.0,,1.2,5.61
7,Friday,Clear,Downtown,UberX,10.21,2.0,1.68,28.01
9,Thursday,Rainy,University,UberX,4.92,3.0,1.61,15.88
6,Monday,Clear,Downtown,UberXL,9.12,4.0,1.0,16.77
2,Saturday,Foggy,Downtown,Uber Pool,7.44,1.0,1.2,13.25
2,Thursday,Rainy,University,UberX,33.42,4.0,1.15,49.53
17,Thursday,Foggy,University,Uber Black,2.73,3.0,1.6,14.33
4,Sunday,Clear,University,UberX,12.34,2.0,1.0,20.51
11,Friday,Clear,Downtown,Uber Black,2.14,3.0,1.2,7.27
11,Friday,Rainy,Airport,UberXL,4.58,2.0,1.38,13.81
18,Saturday,Clear,Suburb,UberX,29.63,1.0,1.92,70.02
5,Wednesday,Rainy,Suburb,UberXL,11.62,4.0,1.15,25.63
1,Wednesday,Foggy,,Uber Pool,3.04,,1.0,6.22
11,Thursday,Clear,Downtown,UberX,7.73,1.0,1.0,12.33
18,Tuesday,Rainy,Airport,UberX,1.0,3.0,1.84,6.45
4,Tuesday,Clear,University,UberX,2.48,1.0,1.0,5.19
11,Wednesday,Clear,Downtown,UberX,,4.0,1.0,16.08
16,Tuesday,,Mall,Uber Black,6.75,2.0,1.3,22.62
16,Sunday,Snowy,University,UberX,5.07,4.0,1.3,11.52
9,Wednesday,Clear,Downtown,Uber Black,9.39,3.0,,36.85
22,Friday,Snowy,Mall,UberX,4.07,2.0,1.56,8.32
16,Thursday,Clear,Airport,Uber Pool,1.0,3.0,1.0,5.09
14,Monday,Clear,Mall,UberX,4.65,4.0,1.0,6.67
11,Thursday,Clear,Downtown,UberX,18.59,4.0,,26.43
15,Wednesday,Snowy,Suburb,UberX,15.54,2.0,1.3,26.5
23,Sunday,,Downtown,Uber Black,4.21,3.0,1.0,12.05
18,Wednesday,,Suburb,UberX,1.0,2.0,1.84,3.0
7,Thursday,Rainy,Airport,UberX,8.09,2.0,1.61,22.14
20,Sunday,Rainy,,Uber Pool,10.81,3.0,1.84,26.18
16,Sunday,Clear,University,Uber Pool,2.79,2.0,,4.94
22,Sunday,Clear,University,Uber Black,5.18,1.0,1.0,16.67
4,Saturday,Clear,Suburb,UberX,38.48,2.0,1.2,57.75
21,Wednesday,Rainy,Suburb,UberX,6.87,4.0,1.15,12.0
15,Tuesday,Rainy,Airport,Uber Black,3.46,3.0,1.15,14.15
5,Tuesday,Rainy,Mall,UberX,7.9,4.0,1.15,13.2
7,Wednesday,Rainy,Suburb,UberX,1.59,1.0,1.61,6.29
17,Wednesday,Clear,Suburb,UberX,1.78,1.0,1.6,5.14
11,Saturday,Foggy,Mall,Uber Pool,20.71,2.0,1.2,23.12
14,Tuesday,Rainy,,UberX,2.19,4.0,1.15,5.57
8,Wednesday,Clear,University,Uber Black,2.98,2.0,1.4,12.71
12,Wednesday,Clear,Suburb,UberX,,2.0,1.0,10.28
14,Saturday,Foggy,University,Uber Black,18.4,4.0,1.2,52.17
9,Saturday,Foggy,University,UberXL,12.17,1.0,1.68,
15,Thursday,Clear,University,UberX,1.0,1.0,1.0,4.78
6,Saturday,Rainy,Airport,UberX,9.45,1.0,1.38,23.15
16,Monday,Clear,Downtown,Uber Black,5.61,3.0,1.0,15.01
22,Tuesday,Clear,Suburb,UberX,5.16,3.0,1.0,8.81
20,Thursday,Rainy,Suburb,Uber Black,9.41,2.0,1.84,43.15
21,Monday,Rainy,Airport,UberXL,1.75,3.0,1.15,5.13
6,Wednesday,Rainy,Downtown,UberXL,31.91,3.0,1.15,68.73
13,Wednesday,Clear,Downtown,UberX,8.29,4.0,1.0,10.08
14,Thursday,Clear,Airport,UberX,3.64,2.0,1.0,7.36
20,Saturday,Clear,Mall,Uber Black,7.33,2.0,1.92,32.82
6,Sunday,Clear,Mall,UberX,1.95,4.0,1.0,6.46
8,Sunday,Clear,Downtown,Uber Pool,8.04,1.0,1.4,16.3
18,Wednesday,Clear,Mall,Uber Pool,1.0,4.0,1.6,5.61
15,Sunday,Clear,Mall,UberX,3.34,1.0,1.0,7.28
7,Friday,Clear,Mall,UberX,11.01,2.0,1.68,26.29
17,Thursday,Rainy,Downtown,UberX,13.2,2.0,1.84,32.53
22,Monday,Clear,Mall,Uber Pool,2.33,3.0,,5.94
17,Thursday,Clear,Suburb,UberX,6.2,3.0,1.6,12.75
19,Tuesday,Rainy,Downtown,UberX,6.01,4.0,1.84,15.99
6,Saturday,Clear,Airport,Uber Black,4.38,3.0,1.2,18.13
2,Saturday,Rainy,Mall,UberX,2.07,2.0,1.38,4.07
17,Thursday,Clear,,UberX,9.72,2.0,1.6,23.93
9,Wednesday,Clear,Downtown,UberX,2.33,1.0,1.4,6.81
6,Wednesday,Clear,Airport,UberXL,19.36,3.0,1.0,40.82
16,Friday,Clear,Suburb,UberX,6.01,1.0,1.2,13.42
13,Friday,Rainy,Airport,UberXL,16.35,2.0,1.38,49.04
23,Saturday,Snowy,Mall,Uber Pool,2.75,,1.56,6.12
2,Friday,Clear,University,UberXL,13.16,1.0,1.2,28.7
11,Monday,Clear,Mall,UberXL,1.0,2.0,1.0,3.0
12,Friday,Rainy,,UberX,11.65,1.0,1.38,29.47
1,Monday,Clear,Downtown,UberX,3.91,3.0,1.0,7.7
2,Friday,Foggy,University,UberX,5.08,1.0,1.2,10.41
4,Saturday,Clear,University,UberXL,1.46,1.0,,6.46
10,Saturday,Snowy,Airport,UberX,1.0,2.0,1.56,4.49
7,Monday,Clear,Mall,UberX,8.78,3.0,1.4,15.57
22,Thursday,Clear,Airport,UberX,7.09,4.0,1.0,12.16
22,Saturday,Foggy,,UberX,7.79,4.0,1.2,15.59
11,Thursday,Rainy,Airport,UberXL,2.35,1.0,1.15,8.1
6,Wednesday,Clear,University,UberXL,2.19,2.0,,7.69
14,Monday,Rainy,Mall,UberX,14.19,3.0,1.15,23.85
23,Sunday,Rainy,Downtown,UberXL,11.46,2.0,1.15,27.03
16,Saturday,Clear,Downtown,UberX,3.29,3.0,,9.6
3,Tuesday,Rainy,Airport,UberXL,8.12,2.0,1.15,
21,Wednesday,Clear,University,Uber Black,14.09,4.0,1.0,35.95
12,Thursday,Foggy,Downtown,UberX,17.57,4.0,1.0,24.99
17,Saturday,Snowy,University,UberX,1.0,4.0,2.5,4.0
0,Monday,Clear,Mall,UberXL,13.43,2.0,1.0,24.68
15,Sunday,Clear,Airport,Uber Pool,3.45,2.0,1.0,7.67
12,Friday,Clear,University,UberXL,10.14,1.0,1.2,22.43
9,Sunday,Clear,Airport,Uber Black,3.71,4.0,1.4,17.43
11,Tuesday,Snowy,University,Uber Black,7.46,1.0,1.3,25.96
1,Thursday,Clear,University,UberXL,8.33,2.0,1.0,15.58
22,Wednesday,Clear,Mall,UberXL,4.15,3.0,1.0,10.36
2,Sunday,Foggy,Airport,UberX,5.75,4.0,1.0,10.11
9,Monday,Foggy,Suburb,UberXL,10.37,4.0,1.4,26.34
1,Tuesday,Clear,University,UberXL,5.17,4.0,1.0,9.37
22,Monday,Rainy,University,Uber Black,1.0,4.0,1.15,7.18
12,Saturday,Rainy,Downtown,UberX,1.0,4.0,1.38,5.35
12,Friday,Snowy,Airport,UberX,8.66,2.0,1.56,26.59
17,Wednesday,Rainy,Suburb,Uber Black,15.03,4.0,1.84,61.94
2,Monday,Rainy,Mall,UberXL,12.31,4.0,1.15,26.15
6,Thursday,Clear,Suburb,Uber Pool,2.97,1.0,1.0,5.14
13,Saturday,Clear,Mall,UberX,5.1,3.0,1.2,7.64
19,Saturday,Rainy,Suburb,UberX,,4.0,2.21,8.31
16,Wednesday,Snowy,Suburb,UberX,36.19,1.0,1.3,59.81
20,Saturday,Foggy,Airport,Uber Black,2.41,2.0,1.92,18.69
11,Thursday,Snowy,Downtown,UberX,4.31,1.0,1.3,9.14
15,Monday,Clear,Suburb,Uber Pool,,4.0,1.0,11.44
23,Wednesday,Rainy,University,UberX,,1.0,1.15,27.16
11,Saturday,Foggy,University,Uber Pool,1.0,1.0,,
14,Saturday,Rainy,University,Uber Black,2.87,2.0,1.38,11.5
9,Thursday,Clear,Downtown,Uber Pool,6.73,1.0,1.4,12.95
6,Friday,Clear,Suburb,UberX,,2.0,1.2,13.45
19,Friday,Foggy,Mall,UberXL,1.0,2.0,1.92,5.22
4,Sunday,Clear,Mall,UberX,8.73,1.0,1.0,12.22
0,Saturday,Snowy,Airport,UberX,6.01,4.0,,14.87
16,Monday,Clear,Downtown,UberX,14.06,3.0,1.0,22.46
2,Wednesday,Rainy,Suburb,Uber Black,2.01,1.0,1.15,6.81
12,Saturday,Rainy,University,UberX,1.74,1.0,1.38,7.38
13,Tuesday,Rainy,Downtown,Uber Pool,12.61,1.0,1.15,18.75
23,Wednesday,Clear,Downtown,UberX,9.74,3.0,1.0,18.95
17,Sunday,Snowy,Suburb,UberX,12.55,3.0,2.08,34.49
3,Friday,Rainy,Airport,UberX,12.18,2.0,1.38,29.56
17,Saturday,Clear,Airport,Uber Black,1.0,3.0,1.92,8.91
4,Thursday,Rainy,Airport,UberX,2.61,3.0,1.15,
15,Tuesday,Clear,University,Uber Pool,2.41,1.0,1.0,6.55
0,Saturday,Clear,University,UberXL,21.82,2.0,1.2,46.37
20,Sunday,Clear,Suburb,Uber Pool,5.35,4.0,1.6,11.03
13,Monday,Foggy,Airport,UberX,1.0,2.0,1.0,3.9
14,Tuesday,Clear,Suburb,UberX,2.74,3.0,1.0,3.82
8,Sunday,Rainy,Airport,UberXL,16.44,3.0,1.61,58.67
14,Saturday,Clear,,Uber Black,15.02,1.0,1.2,41.99
16,Monday,Clear,Mall,UberX,18.45,4.0,1.0,25.46
23,Tuesday,Snowy,Mall,Uber Pool,3.94,4.0,1.3,8.74
3,Monday,Rainy,Airport,UberX,8.2,4.0,1.15,18.09
11,Monday,Snowy,Suburb,Uber Black,2.61,3.0,1.3,8.78
4,Tuesday,Clear,University,UberX,1.6,3.0,1.0,6.84
4,Tuesday,Clear,Airport,UberX,1.0,2.0,1.0,6.78
10,Monday,,Airport,UberX,2.02,3.0,1.0,6.65
5,Sunday,Rainy,University,Uber Pool,7.42,4.0,1.15,13.35
6,Friday,Clear,Airport,Uber Pool,18.76,4.0,1.2,32.02
23,Tuesday,Clear,Downtown,UberX,1.15,4.0,1.0,3.06
13,Saturday,Foggy,,Uber Pool,,1.0,1.2,23.82
23,Wednesday,Clear,Downtown,UberXL,3.39,2.0,1.0,9.58
10,Thursday,Rainy,Mall,Uber Black,4.45,2.0,1.15,9.05
12,Monday,,University,UberX,3.63,3.0,1.0,6.74
1,Monday,,University,UberXL,4.2,1.0,1.0,8.57
6,Thursday,Snowy,Suburb,UberX,2.4,,1.3,5.96
19,Friday,Clear,Suburb,UberX,9.59,1.0,1.92,22.75
3,Thursday,Clear,University,UberXL,,1.0,,21.36
7,Tuesday,Foggy,Mall,Uber Black,13.86,3.0,1.4,46.1
19,Thursday,Clear,Airport,UberXL,3.34,1.0,1.6,16.2
21,Monday,Clear,,Uber Pool,11.57,2.0,1.0,13.62
20,Thursday,Rainy,Mall,Uber Black,8.12,3.0,1.84,32.71
18,Wednesday,Clear,Mall,UberX,25.34,2.0,1.6,51.25
12,Saturday,Clear,Suburb,UberX,4.42,1.0,1.2,10.99
13,Tuesday,Clear,Airport,UberXL,38.94,1.0,1.0,83.18
9,Thursday,Rainy,Suburb,Uber Pool,10.79,4.0,1.61,19.16
10,Monday,Rainy,Mall,Uber Pool,11.98,3.0,1.15,16.72
1,Sunday,Rainy,Downtown,Uber Black,1.0,3.0,1.15,5.54
8,Saturday,Clear,Suburb,UberXL,5.5,4.0,1.68,17.82
16,Tuesday,Rainy,Mall,Uber Black,6.01,2.0,1.15,18.59
2,Monday,Snowy,Suburb,UberX,1.0,2.0,1.3,3.44
23,Friday,Clear,Mall,UberX,2.99,1.0,1.2,6.5
5,Wednesday,Rainy,Airport,UberXL,24.92,3.0,1.15,60.79
4,Friday,Rainy,Mall,Uber Pool,4.44,1.0,1.38,7.29
4,Wednesday,,University,Uber Pool,,4.0,1.0,5.28
21,Thursday,Snowy,Downtown,UberX,,1.0,1.3,13.19
14,Tuesday,Clear,Mall,Uber Black,1.0,2.0,1.0,3.0
22,Thursday,,Suburb,Uber Pool,5.81,2.0,,6.3
16,Wednesday,Clear,,UberXL,7.22,4.0,1.0,13.18
8,Wednesday,Clear,Mall,UberX,3.54,2.0,1.4,6.33
2,Wednesday,Clear,University,UberXL,11.5,4.0,1.0,22.2
19,Saturday,Foggy,Mall,UberXL,1.17,3.0,1.92,5.16
16,Monday,Clear,Airport,UberXL,16.84,4.0,1.0,38.3
9,Tuesday,Clear,University,UberXL,24.89,4.0,1.4,62.57
2,Thursday,Rainy,Mall,Uber Black,1.0,4.0,1.15,3.0
17,Thursday,Clear,Downtown,UberX,14.8,2.0,1.6,32.82
17,Friday,,,UberX,5.64,3.0,1.92,13.83
16,Wednesday,Foggy,Mall,UberXL,4.95,1.0,1.0,7.66
23,Sunday,,Downtown,UberX,2.18,3.0,1.0,6.19
2,Wednesday,Clear,Mall,Uber Pool,4.74,2.0,,7.08
2,Wednesday,Clear,Airport,UberX,24.03,3.0,1.0,39.14
5,Sunday,Rainy,,UberX,1.89,3.0,1.15,3.68
12,Thursday,,Mall,Uber Pool,1.58,4.0,1.0,3.0
23,Friday,Rainy,University,UberX,2.22,4.0,1.38,6.62
14,Monday,Foggy,Mall,Uber Black,6.42,2.0,,16.28
8,Sunday,Clear,Mall,UberXL,21.31,4.0,1.4,48.89
3,Saturday,Foggy,Mall,UberX,6.82,2.0,1.2,12.95
13,Tuesday,Clear,Mall,Uber Pool,2.23,1.0,1.0,4.93
4,Sunday,Foggy,University,UberX,4.65,3.0,1.0,6.9
1,Monday,Clear,University,UberXL,3.96,1.0,1.0,8.44
10,Thursday,,Mall,UberX,1.0,1.0,1.15,5.17
8,Saturday,Clear,Suburb,UberX,5.72,3.0,1.68,15.15
23,Saturday,Foggy,Mall,Uber Pool,1.08,4.0,1.2,3.0
2,Saturday,Clear,University,Uber Black,14.77,1.0,1.2,45.93
8,Wednesday,Clear,Airport,UberX,6.37,3.0,1.4,16.15
2,Tuesday,Rainy,Mall,UberXL,14.89,1.0,,31.08
1,Thursday,Clear,Mall,Uber Black,25.0,1.0,1.0,
11,Thursday,Rainy,Mall,Uber Pool,22.94,3.0,1.15,26.01
9,Saturday,Foggy,Mall,UberX,,4.0,1.68,3.14
8,Thursday,Clear,Downtown,Uber Pool,23.18,2.0,1.4,32.15
14,Tuesday,Clear,Mall,UberXL,12.71,3.0,1.0,22.77
7,Tuesday,Clear,University,UberXL,12.03,2.0,1.4,30.3
4,Friday,Rainy,University,Uber Pool,1.0,3.0,1.38,5.41
10,Sunday,Clear,Downtown,UberX,,3.0,1.0,3.72
1,Sunday,Clear,Mall,UberX,29.56,2.0,1.0,38.38
23,Friday,Clear,,UberX,1.92,2.0,1.2,4.66
14,Monday,Clear,Mall,UberX,1.48,4.0,1.0,3.0
5,Sunday,Snowy,University,UberX,,3.0,1.3,9.61
7,Tuesday,,Airport,Uber Black,19.57,3.0,1.4,79.94
4,Tuesday,Rainy,Airport,UberX,5.17,,1.15,11.12
15,Sunday,Rainy,Suburb,UberX,20.26,4.0,1.15,28.68
17,Tuesday,Rainy,Mall,UberX,3.26,,1.84,7.17
5,Friday,Clear,Downtown,UberX,2.05,3.0,,6.43
4,Saturday,Rainy,Mall,UberX,5.47,2.0,1.38,11.41
15,Saturday,Foggy,Suburb,UberXL,7.65,4.0,1.2,18.57
12,Thursday,,Suburb,UberX,3.97,,1.0,8.03
4,Saturday,Clear,Suburb,Uber Pool,3.4,2.0,1.2,4.3
12,Wednesday,Clear,Airport,UberX,1.97,4.0,1.0,5.58
16,Friday,Clear,Mall,Uber Pool,2.57,1.0,1.2,5.22
17,Tuesday,Clear,Mall,UberX,8.95,3.0,1.6,21.2
7,Sunday,Rainy,Downtown,Uber Black,3.69,3.0,1.61,18.73
12,Saturday,Clear,Suburb,UberXL,1.0,2.0,1.2,3.0
18,Friday,Clear,Suburb,Uber Black,1.19,1.0,1.92,9.17
2,Saturday,Rainy,University,UberXL,3.73,4.0,1.38,12.59
23,Monday,Clear,University,Uber Pool,20.67,3.0,1.0,20.82
7,Tuesday,Rainy,Airport,UberXL,3.81,3.0,1.61,15.19
1,Monday,Clear,Mall,Uber Black,1.0,1.0,1.0,3.0
7,Tuesday,Snowy,Downtown,Uber Pool,4.33,4.0,1.82,10.23
12,Friday,Clear,Downtown,Uber Black,8.84,3.0,1.2,26.6
12,Thursday,Rainy,Suburb,UberXL,7.2,3.0,1.15,16.53
0,Saturday,Foggy,,UberX,2.61,2.0,1.2,7.25
5,Saturday,Clear,Suburb,Uber Pool,9.32,4.0,1.2,12.42
23,Wednesday,Clear,Mall,UberX,7.97,3.0,1.0,12.36
18,Sunday,Rainy,Downtown,UberXL,1.51,1.0,1.84,6.21
15,Monday,,Suburb,UberX,1.42,3.0,1.0,3.0
7,Saturday,Foggy,Mall,UberX,6.34,4.0,1.68,18.45
0,Friday,Snowy,Mall,UberXL,8.62,2.0,1.56,25.55
15,Thursday,Clear,Suburb,UberXL,26.14,3.0,,44.52
8,Sunday,Clear,Suburb,UberX,4.38,1.0,1.4,9.54
12,Friday,Clear,Airport,UberX,11.58,,1.2,27.78
10,Monday,Clear,Mall,UberX,1.0,1.0,1.0,6.21
12,Wednesday,Rainy,Suburb,Uber Black,17.63,4.0,1.15,46.68
20,Saturday,Rainy,,UberX,8.02,2.0,2.21,
9,Friday,Clear,Downtown,UberXL,7.93,4.0,1.68,26.03
3,Sunday,Clear,University,UberXL,1.23,3.0,1.0,4.0
5,Tuesday,Clear,University,Uber Pool,1.0,3.0,1.0,3.0
6,Thursday,Clear,Suburb,UberX,9.67,2.0,1.0,16.16
4,Sunday,Foggy,Suburb,UberX,1.0,1.0,1.0,4.49
10,Friday,Clear,Mall,UberXL,1.09,4.0,1.2,3.98
12,Thursday,Foggy,Suburb,UberXL,1.66,1.0,1.0,4.52
18,Saturday,Rainy,Mall,UberX,1.0,3.0,2.21,5.17
22,Tuesday,Rainy,Suburb,Uber Black,7.86,,1.15,21.66
9,Wednesday,Clear,Mall,UberX,4.39,4.0,1.4,9.02
9,Sunday,Rainy,Suburb,UberX,2.48,1.0,1.61,10.37
10,Wednesday,Rainy,Airport,UberX,4.65,3.0,1.15,9.47
20,Tuesday,Rainy,Mall,Uber Pool,14.87,4.0,,23.81
6,Thursday,Clear,Airport,UberX,,1.0,1.0,36.16
17,Saturday,Clear,Airport,UberX,5.35,1.0,1.92,20.2
3,Friday,Rainy,Airport,UberX,6.69,,1.38,17.13
1,Tuesday,Clear,,UberXL,2.38,3.0,1.0,5.03
13,Monday,Clear,Downtown,Uber Black,5.77,4.0,1.0,16.26
12,Thursday,,University,UberX,11.03,3.0,1.3,19.8
11,Wednesday,,Downtown,UberX,5.42,1.0,1.0,11.66
6,Sunday,Clear,Suburb,UberX,2.88,4.0,1.0,4.69
1,Tuesday,Clear,Suburb,UberXL,,3.0,1.0,14.01
12,Wednesday,Rainy,University,UberX,23.45,4.0,1.15,37.38
13,Thursday,Clear,University,Uber Pool,,,1.0,17.76
16,Wednesday,Rainy,University,UberX,11.73,4.0,1.15,18.6
8,Tuesday,Clear,Airport,UberX,2.59,1.0,1.4,8.81
16,Thursday,Clear,Downtown,UberX,2.21,1.0,1.0,3.0
7,Monday,,Suburb,Uber Black,14.59,1.0,1.61,56.22
1,Tuesday,Clear,Downtown,UberXL,1.6,3.0,1.0,3.8
23,Friday,Snowy,Downtown,Uber Pool,7.44,3.0,1.56,14.06
12,Saturday,Clear,Downtown,UberX,4.62,2.0,1.2,7.79
2,Tuesday,,University,UberX,5.05,3.0,1.0,
15,Thursday,Clear,University,UberXL,4.85,2.0,1.0,10.65
5,Sunday,Clear,Suburb,UberXL,18.42,4.0,1.0,32.29
18,Saturday,Snowy,Suburb,UberXL,1.0,1.0,2.5,7.33
6,Tuesday,Foggy,Suburb,UberX,12.22,3.0,1.0,18.8
9,Monday,Clear,Downtown,UberX,14.42,1.0,1.4,27.47
8,Sunday,Rainy,University,UberX,22.9,2.0,1.61,48.55
1,Monday,Rainy,Airport,UberXL,4.82,3.0,1.15,15.92
14,Friday,Clear,Downtown,UberXL,5.55,3.0,1.2,13.56
4,Sunday,Clear,Mall,Uber Black,26.01,3.0,1.0,61.77
21,Wednesday,Foggy,Downtown,UberX,4.91,3.0,1.0,9.29
